,County,Year,AnnualVolume_MG_Sum
35,Fairfax County,2017.0,32642.405261
36,Fairfax County,2018.0,32859.839787
37,Fairfax County,2019.0,33306.567746
38,Fairfax County,2020.0,32865.13357
39,Fairfax County,2021.0,29768.853494
75,Loudoun County,2017.0,4344.775718
76,Loudoun County,2018.0,4168.555976000001
77,Loudoun County,2019.0,6188.488384
78,Loudoun County,2020.0,5358.540597
79,Loudoun County,2021.0,5608.259024999999
115,Prince William County,2017.0,66375.47810390001
116,Prince William County,2018.0,58536.6278894
117,Prince William County,2019.0,36469.470071
118,Prince William County,2020.0,40089.376825
119,Prince William County,2021.0,46352.726448
